stud2	yyyy	alamakota	Wojtek	Kaczor	123-123-123	woj@gamil.com
stud3	ssss	alamakota2	Piotr	KAczorek	222-222-222	piotr@gmail.com
stud4	mentorwoj	alamakota	Wojtek	Kaczor	123-123-123	woj@gamil.com
stud6	mentorwoj	alamakota	Wojtek	Kaczor	123-123-123	woj@gamil.com
stud7	mentorpiotr	alamakota2	Piotr	KAczorek	222-222-222	piotr@gmail.com
stud8	mentorwoj	alamakota	Wojtek	Kaczor	123-123-123	woj@gamil.com
stud10	sy	yyyy	yyyy	yyyy	yyyy	yyyy
stud11	xx	xxxx	xxxx	xx	xxxxxxx	xxxxxxxx
stud12	dfs	sdf	sdf	sdf	sdf	dfg
	dfsdf	sdfsd	gff	rr	rr	rr
	asdasd	asdasda	adasda	asdasdas	123	adasda
st12	dar	dar	dar	dar	dar	dar
st14	dar	dar	dar	dar	dar	dar
qwerty	a	bvc	qwerty	qwerty	qqqqq	
